"Time","memory_utilization"
1700144315000,0.8142239486747698
1700144320000,0.8142239486747698
1700144325000,0.8097009644143004
1700144330000,0.8097009644143004
1700144335000,0.8097009644143004
1700144340000,0.8097009644143004
1700144345000,0.8114262690545434
1700144350000,0.8114262690545434
1700144355000,0.8114438320359111
1700144360000,0.8114438320359111
1700144365000,0.8114438320359111
1700144370000,0.811513050844831
1700144375000,0.811513050844831
1700144380000,0.811513050844831
1700144385000,0.8137476819447386
1700144390000,0.8137476819447386
1700144395000,0.8136381715903279
1700144400000,0.8136381715903279
1700144405000,0.8136237079586134
1700144410000,0.8136237079586134
1700144415000,0.8136237079586134
1700144420000,0.8136237079586134
1700144425000,0.8211251672357417
1700144430000,0.8211251672357417
1700144435000,0.8211251672357417
1700144440000,0.822385569428015
1700144445000,0.822385569428015
1700144450000,0.822385569428015
1700144455000,0.8128199432819013
1700144460000,0.8128199432819013
1700144465000,0.8128261419812076
1700144470000,0.8128261419812076
1700144475000,0.8128261419812076
1700144480000,0.8128437049625753
1700144485000,0.8128437049625753
1700144490000,0.8128437049625753
1700144495000,0.8128437049625753
1700144500000,0.8128839965080661
1700144505000,0.8128839965080661
1700144510000,0.8129170562376995
1700144515000,0.8130348315245184
1700144520000,0.8130017717948851
1700144525000,0.8130017717948851
1700144530000,0.81302656659211
1700144535000,0.81302656659211
1700144540000,0.81302656659211
1700144545000,0.81302656659211
1700144550000,0.8137146222151052
1700144555000,0.8137146222151052
1700144560000,0.8136650326206551
1700144565000,0.8136650326206551
1700144570000,0.8136650326206551
1700144575000,0.813566886548306
1700144580000,0.813566886548306
1700144585000,0.813566886548306
1700144590000,0.813591681345531
1700144595000,0.813591681345531
1700144600000,0.813591681345531
1700144605000,0.815436827505695
1700144610000,0.815436827505695
1700144615000,0.815436827505695
1700144620000,0.8154099664753679
1700144625000,0.8154099664753679
1700144630000,0.8154543904870628
1700144635000,0.8154543904870628
1700144640000,0.8154543904870628
1700144645000,0.8143892473229367
1700144650000,0.8143892473229367
1700144655000,0.8144223070525701
1700144660000,0.8144223070525701
1700144665000,0.8145059894932046
1700144670000,0.8144729297635713
1700144675000,0.8144729297635713
1700144680000,0.8144037109546514
1700144685000,0.8144037109546514
1700144690000,0.8144037109546514
1700144695000,0.8119273305817996
1700144700000,0.8119273305817996
1700144705000,0.8119273305817996
1700144710000,0.8117227735046929
1700144715000,0.811723806621244
1700144720000,0.811723806621244
1700144725000,0.8118736085211453
1700144730000,0.8118736085211453
1700144735000,0.8118736085211453
1700144740000,0.8118736085211453
1700144745000,0.8119231981155954
1700144750000,0.8119231981155954
1700144755000,0.8119231981155954
1700144760000,0.8117052105233252
1700144765000,0.8117052105233252
1700144770000,0.8117052105233252
1700144775000,0.8120368409362102
1700144780000,0.8120699006658436
1700144785000,0.8120699006658436
1700144790000,0.8124986440345268
1700144795000,0.8124655843048934
1700144800000,0.8126505121675301
1700144805000,0.8126505121675301
1700144810000,0.8126505121675301
1700144815000,0.8126639426826937
1700144820000,0.8126639426826937
1700144825000,0.8126639426826937
1700144830000,0.8126639426826937
1700144835000,0.8124397563911173
1700144840000,0.8124397563911173
1700144845000,0.8124883128690163
1700144850000,0.8124883128690163
1700144855000,0.8124893459855673
1700144860000,0.8124841804028121
1700144865000,0.8124841804028121
1700144870000,0.8124831472862611
1700144875000,0.8126753069647552
1700144880000,0.8126753069647552
1700144885000,0.8126753069647552
1700144890000,0.8126887374799188
1700144895000,0.8126887374799188
1700144900000,0.8126887374799188
1700144905000,0.8121525499899271
1700144910000,0.8121525499899271
1700144915000,0.8121525499899271
1700144920000,0.8121329207754573
1700144925000,0.8121329207754573
1700144930000,0.8121329207754573
1700144935000,0.8126608433330407
1700144940000,0.8126608433330407
1700144945000,0.8126649757992448
1700144950000,0.8126649757992448
1700144955000,0.8126649757992448
1700144960000,0.8126329491861625
1700144965000,0.8126329491861625
1700144970000,0.812741426424022
1700144975000,0.812741426424022
1700144980000,0.812741426424022
1700144985000,0.812741426424022
1700144990000,0.8126567108668364
1700144995000,0.8126567108668364
1700145000000,0.8126567108668364
